SUPPLIER_ID;SUP_NAME
 16223683;A44441 юпнмю ннн                                                                                    
 16223425;A55555 йнлоюмхъ юккхцюрнп ннн                                                                       
 16223429;AL55544 юкэ рпеид ннн                                                                               
 16222308;CA16543 оюптчл оюкюя                                                                                
 16034955;GR00026 йнлоюмхъ цпхмтхкдя ннн                                                                      
 15904373;H44525 унпейю рпеидяепбхя ннн                                                                       
 12584095;I54444 хмрек рпеид рй                                                                               
 15892709;K127566 йг нрпюдмне нюн                                                                             
 16223484;K22233 йпсрнм ннн                                                                                   
 15922954;L44444_ кта ннн                                                                                     
 16223418;M71113 люпп псяяхъ ннн                                                                              
 16223729;O65432_ бняэлюъ хлоепхъ ннн                                                                         
 13070299;U10022 спемункэр ннн                                                                                
 16037549;V12345 рой бхкнм ннн                                                                                
 16223643;V50170 бюкемяхъ щйяопеяя ннн                                                                        
 15922984;я12345 тхплю ярюмаеб ннн                                                                            
